billing_month,month_label,year,month_num,net_sale_amt,gross_sale_amt,net_sale_qty,gross_sale_qty,fresh_ret_amt,total_deductions_amt,return_rate_pct,net_to_gross_ratio,n_states,rolling_3m_net_sales,rolling_6m_net_sales,rolling_3m_net_qty,rolling_6m_net_qty,mom_growth_pct,yoy_growth_pct,stl_trend,stl_seasonal,stl_residual,ols_trend,is_spike,spike_zscore
202304,Apr-2023,2023,4,65808291.5282,65983419.3382,1108427.005,1112452.005,17466.0,175127.81,0.026,99.73,24,65808291.53,65808291.53,1108427.0,1108427.0,,,48342652.37175852,17472227.407811172,-6588.251369692385,52149753.37649397,False,0.83
202305,May-2023,2023,5,39322722.354499996,39507981.7245,656450.0011,660590.0011,24002.52,185259.37,0.061,99.53,24,52565506.94,52565506.94,882438.5,882438.5,-40.25,,48157399.76573664,-8830124.72378485,-4552.6874517947435,51693286.790983625,False,-0.896
202306,Jun-2023,2023,6,31067185.076700002,31266227.9367,505244.0019,509670.0019,33949.92,199042.86000000002,0.109,99.36,24,45399399.65,45399399.65,756707.0,756707.0,-20.99,,47972054.989874065,-16902312.025157586,-2557.888016477227,51236820.20547328,False,-1.481
202307,Jul-2023,2023,7,40046574.7087,40308745.1287,613433.0029,619171.0029,48036.36,262170.42,0.119,99.35,24,36812160.71,44061193.42,591709.0,720888.5,28.9,,47786612.84707224,-7739429.971355363,-608.1670168787241,50780353.61996294,False,-0.735
202308,Aug-2023,2023,8,64445947.417899996,64709754.2979,969715.0066,975431.0066,77408.18,263806.88,0.12,99.59,24,45186569.07,48138144.22,696130.67,770653.8,60.93,,47601068.8645177,16843586.48660209,1292.0667802020907,50323887.034452595,False,0.899
202309,Sep-2023,2023,9,70239558.36479999,70468954.4348,1056347.0019999999,1061261.0019999999,63473.65,229396.06999999998,0.09,99.67,24,58244026.83,51821713.24,879831.67,818269.34,8.99,,47415416.49844384,22821004.57687198,3137.2894841730595,49867420.448942244,False,1.355
202310,Oct-2023,2023,10,69049281.6496,69353577.8896,1038879.0041,1045345.0041,87053.94,304296.24,0.126,99.56,24,67911595.81,52361878.26,1021647.0,806678.0,-1.69,,47229642.5855535,21814719.975989003,4919.088057503104,49410953.8634319,False,1.372
202311,Nov-2023,2023,11,52039053.6253,52256952.7954,782033.0047,786926.0046000001,25812.3,217899.1701,0.049,99.58,24,63775964.55,54481266.81,959086.34,827608.5,-24.63,,47043718.07253052,4988713.542292067,6622.010477408767,48954487.27792156,False,0.322
202312,Dec-2023,2023,12,33949726.5666,34142884.0766,513060.9963,517528.9963,15875.859999999999,193157.50999999998,0.046,99.43,24,51679353.95,54961690.39,777991.0,828911.34,-34.76,,46857575.55664812,-12916063.611113945,8214.621065825224,48498020.692411214,False,-0.829
202401,Jan-2024,2024,1,31852962.569,32105248.059,480884.0023,486529.0023,47892.0,252285.49,0.149,99.21,24,39280580.92,53596088.37,591992.67,806819.84,-6.18,,46671048.70303647,-14827709.597387172,9623.463350698352,48041554.10690087,False,-0.976
202402,Feb-2024,2024,2,35600969.2642,35832260.3242,535779.9912,540872.9912,12580.58,231291.06,0.035,99.35,24,33801219.47,48788592.01,509908.33,734497.33,11.77,,46483714.551610366,-10893405.507704262,10660.22029389441,47585087.52139053,False,-0.758
202403,Mar-2024,2024,3,34175961.7409,34400992.1709,513633.99980000005,518578.99980000005,33357.86,225030.43,0.097,99.35,24,33876631.19,42777992.57,510099.33,644045.17,-4.0,,46294823.91744898,-12122427.180004345,3565.003455363214,47128620.935880184,False,-0.85
202404,Apr-2024,2024,4,62698400.5487,62913824.930300005,941800.0044999999,946354.0033,68898.8898,215424.3816,0.11,99.66,24,44158443.85,41719512.39,663738.0,627865.33,83.46,-4.73,46104823.071012385,15057873.10528535,1535704.3724022582,46672154.35036984,False,1.109
202405,May-2024,2024,5,37658818.3499,37845319.8394,566289.0025,570240.0025000001,71787.96,186501.48950000003,0.19,99.51,24,44844393.55,39322806.51,673907.67,591908.0,-39.94,-4.23,45910891.34052413,-7332226.420481087,-919846.570143044,46215687.7648595,False,-0.587
202406,Jun-2024,2024,6,32211875.4604,32344248.8065,484877.9989,487669.9961,33483.66,132373.3461,0.104,99.59,24,44189698.12,39033164.66,664322.34,587210.83,-14.46,3.68,45701514.25734766,-13497291.946223034,7653.149275377393,45759221.179349154,False,-0.997
202407,Jul-2024,2024,7,43445976.7185,43601354.1596,653397.0062,656572.0021,68611.0801,155377.44110000003,0.157,99.64,24,37772223.51,40965333.68,568188.0,615963.0,34.88,8.49,45472932.02494465,-4349013.89915655,2322058.592711903,45302754.59383881,False,-0.09
202408,Aug-2024,2024,8,63865712.147,64008064.785900004,960674.9951,963574.994,33068.159999999996,142352.63890000002,0.052,99.78,24,46507854.78,45676124.16,699650.0,686778.83,47.0,-0.9,45235155.1204188,17544294.666412365,1086262.3601688296,44846288.00832846,False,1.465
202409,Sep-2024,2024,9,63014753.4313,63144393.4203,947958.0011,950668.0012,30944.8308,129639.98899999999,0.049,99.79,24,56775480.77,50482589.44,854010.0,759166.17,-1.33,-10.29,44982953.14868549,21640348.76414727,-3608548.48153276,44389821.42281812,False,1.401
202410,Oct-2024,2024,10,51744697.6496,51871217.4993,778281.9988000001,780893.0006,14738.810000000001,126519.84969999999,0.028,99.76,24,59541721.08,48656972.29,895638.33,731913.17,-17.88,-25.06,44709457.21699561,14425148.017148511,-7389907.584544122,43933354.83730777,False,0.565
202411,Nov-2024,2024,11,48083480.7804,48210765.1391,723531.9957,726074.9961999999,28058.999699999997,127284.35870000001,0.058,99.74,24,54280977.29,50394416.03,816590.67,758120.33,-7.08,-7.6,44452201.63424348,1874442.1941515242,1756836.952004999,43476888.25179743,False,0.379
202412,Dec-2024,2024,12,30928635.4161,31087744.006300002,465270.999,468490.9983,38579.369999999995,159108.5902,0.124,99.49,24,43585604.62,50180542.69,655695.0,754852.5,-35.68,-8.9,44211058.23707124,-11315870.417429058,-1966552.4035421833,43020421.66628709,False,-0.987
202501,Jan-2025,2025,1,27378052.6389,27526006.2005,412520.00009999995,415531.0015,38826.1998,147953.56160000002,0.141,99.46,24,35463389.61,47502555.34,533774.33,714706.33,-11.48,-14.05,43973795.904301375,-13716797.603049785,-2878945.6623515934,42563955.08077674,False,-1.369
202502,Feb-2025,2025,2,36073493.3614,36187160.3501,542619.9972,544956.9987,14975.529999999999,113666.98869999999,0.041,99.69,24,31460060.47,42870518.88,473470.33,645030.5,31.76,1.33,43736191.37938223,-9020352.176969923,1357654.1589876935,42107488.4952664,False,-0.639
202503,Mar-2025,2025,3,31978385.109399997,32146701.4199,480942.9932,484165.9926,59121.78,168316.3105,0.184,99.48,24,31809977.04,37697790.83,478694.33,567194.66,-11.35,-6.43,43514571.22799388,-11603096.793456562,66910.67486267537,41651021.90975606,False,-0.992
202504,Apr-2025,2025,4,53327286.5866,53533283.1767,800472.0043,804496.0025999999,25330.34,205996.5901,0.047,99.62,24,40459721.69,37961555.65,608011.66,570893.0,66.76,-14.95,43304487.1732519,12643748.619478883,-2620949.2061307803,41194555.324245706,False,0.847
202505,May-2025,2025,5,38161171.4326,38333568.5647,573230.0074,576398.003,45082.49,172397.13210000002,0.118,99.55,24,41155614.38,36307837.42,618215.0,545842.67,-28.44,1.33,43042332.46667207,-5834093.384024849,952932.3499527797,40738088.73873536,False,-0.446
202506,Jun-2025,2025,6,40159922.5912,40414925.1506,600599.0003000001,605313.0023,61635.1697,255002.55939999997,0.153,99.37,24,43882793.54,37846385.29,658100.34,568397.33,5.24,24.67,42760695.94962906,-10092034.866946073,7491261.508517012,40281622.15322502,False,-0.214
202507,Jul-2025,2025,7,41523306.2349,41822254.1874,614875.0022999999,620414.0031999999,36996.94,298947.9525,0.088,99.29,24,39948133.42,40203927.55,596234.67,602123.17,3.39,-4.43,42477733.661319226,-958360.5444550129,3933.118035785854,39825155.567714676,False,-0.097
202508,Aug-2025,2025,8,60442372.026300006,60626838.7082,892766.9972999999,896154.9956,39753.1901,184466.6819,0.066,99.7,24,47375200.28,44265407.33,702747.0,660481.0,45.56,-5.36,42193674.95593735,18245239.278036065,3457.792326591909,39368688.98220433,True,1.582
202509,Sep-2025,2025,9,62371557.848799996,62637314.6603,923276.0026,928056.0014000001,83447.1409,265756.8115,0.133,99.58,24,54779078.7,49330936.12,810306.0,734203.17,3.19,-1.02,41908600.6887021,20459928.097556107,3029.0625417903066,38912222.39669399,True,1.747
202510,Oct-2025,2025,10,48661562.925,48842389.2643,718984.0002,722249.001,53352.1,180826.3393,0.109,99.63,24,57158497.6,48553315.51,845009.0,720621.84,-21.98,-5.96,41623152.90040159,7035809.786077867,2600.238520540297,38455755.81118365,False,0.552
202511,Nov-2025,2025,11,40100110.3836,40268138.6596,592952.0042999999,596089.003,31718.7901,168028.27599999998,0.079,99.58,24,50377743.72,48876472.0,745070.67,723908.83,-17.59,-16.6,41337536.05101876,-1239596.7488960822,2171.0814773216844,37999289.2256733,False,-0.163
202512,Dec-2025,2025,12,31338116.3508,31479232.3101,463648.99720000004,466284.9971,9738.2399,141115.9593,0.031,99.55,24,40033263.22,47406170.96,591861.67,701083.83,-21.85,1.32,41051818.197274685,-9715446.00069797,1744.1542232856154,37542822.64016296,False,-0.9
202601,Jan-2026,2026,1,28161690.7739,28357610.947,416829.9954,420507.9963,67767.48000000001,195920.1731,0.239,99.31,23,33199972.5,45179235.05,491143.67,668076.33,-10.14,2.86,40766025.920980535,-12605653.287020737,1318.1399402022362,37086356.05465262,False,-0.703
202602,Feb-2026,2026,2,33334000.8873,33518220.5079,493138.99940000003,496560.9993,53258.549999999996,184219.6206,0.159,99.45,24,30944602.67,40661173.19,457872.66,601471.67,18.37,-7.59,40480171.414856456,-7147066.51971115,895.9921546950936,36629889.46914227,False,-0.334
202603,Mar-2026,2026,3,29101001.3631,29205456.9681,430233.0003,432231.9982,11634.98,104455.605,0.04,99.64,24,30198897.67,35116080.45,446734.0,519297.83,-12.7,-9.0,40194261.12811823,-11086257.796217412,-7001.96880082041,36173422.88363193,False,-0.491
202604,Apr-2026,2026,4,50138212.4555,50301030.7637,740818.0053,743871.0071,38106.240000000005,162818.3082,0.076,99.68,24,37524404.9,35362188.7,554730.0,522936.83,72.29,-5.98,39908299.9808794,10229849.547860976,62.926759622991085,35716956.29812158,False,1.284
202605,May-2026,2026,5,35286202.4299,35445588.1876,521286.0081,524317.0064,33462.72,159385.7577,0.094,99.55,24,38175138.75,34559870.71,564112.34,510992.5,-29.62,-7.53,39622295.78534603,-4335741.641400693,-351.71404533833265,35260489.712611236,False,0.284
202606,Jun-2026,2026,6,6811611.0526,6899979.5816,100425.99919999999,102013.0014,16992.0,88368.529,0.246,98.72,24,30745341.98,30472119.83,454176.67,450455.33,-80.7,-83.04,39336256.33757008,-6686567.497643102,-25838077.787326977,34804023.12710089,True,-1.856
